,ICAO,Airline,Country/Region
3528,KNM,Komsomolsk-on-Amur Air Enterprise,Russia
3529,KOB,Koob-Corp - 96 KFT,Hungary
3530,KAL,Korean Air,South Korea
3531,KMG,Kosmas Air,Serbia
3532,KSM,Kosmos,Russia
3533,KOS,Kosova Airlines,Serbia
3534,WOK,Kovar Air,Czech Republic
3535,KJC,Krasnojarsky Airlines,Russia
3536,KFC,Kremenchuk Flight College,Ukraine
3537,KRG,Krimaviamontag,Ukraine
3538,KRO,Kroonk Air Agency,Ukraine
3539,KRI,Krylo Airlines,Russia
3540,KYM,Krym,Ukraine
3541,OPC,Krystel Air Charter,United Kingdom
3542,KIL,Kuban Airlines,Russia
3543,KPA,Kunpeng Airlines,China
3544,KZA,Kurzemes Avio,Russia
3545,KBV,Kustbevakningen,Sweden
3546,KAC,Kuwait Airways,Kuwait
3547,KZU,Kuzu Airlines Cargo,Turkey
3548,QVR,Kvadro Aero,Kyrgyzstan
3549,KWN,Kwena Air,South Africa
3550,KTC,Kyrgyz Trans Avia,Kyrgyzstan
3551,LYN,Kyrgyzstan,Kyrgyzstan
3552,KGA,Kyrgyzstan Airlines,Kyrgyzstan
3553,DAM,Kyrgyzstan Department of Aviation,Kyrgyzstan
3554,KGB,Kyrgz General Aviation,Kyrgyzstan
3555,KEW,Keewatin Air,Canada
3556,AOE,Livingstone Executive,Italy
3557,LZF,Lease Fly,Portugal
3558,LBR,Lepl Project Limited (Air Costa),India
3559,LHB,Liebherr Geschaeftreiseflugzeug,Germany
3560,LLD,Lloyd Aviation,Venezuela
3561,LGA,Logistic Air,Malaysia
3562,LGC,Legacy Air,Thailand
3563,JKA,LeTourneau University,United States
3564,LTY,Liberty Air,Netherlands
3565,LWL,Lowlevel,Portugal
3566,LAX,Laminar Air,Spain
3567,LWA,Libyan Wings,Libya
3568,LCT,TAR Aerolineas,Mexico
3569,LAH,L A Helicopter,United States
3570,LJY,L J Aviation,United States
3571,LRB,L R Airlines,Czech Republic
3572,PHO,L&L Flygbildteknik,Sweden
3573,LEX,L'Express Airlines,United States
3574,FNT,L-3 Communications Flight International Aviation,United States
3575,LAB,L.A.B. Flying Service,United States
3576,LRC,LACSA,Costa Rica
3577,LDE,LADE - Líneas Aéreas Del Estado,Argentina
3578,BNX,LAI - Línea Aérea IAACA,Venezuela
3579,DSM,LATAM Argentina,Argentina
3580,TAM,LATAM  Brasil,Brazil
3581,LCO,LATAM Cargo Chile,Chile
3582,LAN,LATAM Chile,Chile
3583,ARE,LATAM Colombia,Colombia
3584,LNC,LAN Dominicana,Dominican Republic
